cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Corynoneura edwardsi-type,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Parametriocnemus,Plate type,Ventromental plates narrow or foot-shaped,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Harnischia,Teeth type,2 median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Harnischia,Teeth type,First lateral tooth lower,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypedilum nubifer-type,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Endochironomus albipennis-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Paramerina,Functional feeding guild,Predators,Prd,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tanytarsus chinyensis-type1,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Diamesa,Mentum ratio,2-2.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypedilum sordens-type,Mentum ratio,2.9-4.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Micropsectra junci-type,Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cladotanytarsus mancus-type2,Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tanytarsus pallidicornis-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Limnophyes,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Macropelopia,Functional feeding guild,Predators,Prd,,,moderate,predicted a different value for this trait
"species present, trait missing",Chironomus plumosus-type,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Smittia,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Diamesa,Teeth type,One median tooth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psilometriocnemus,Mentum ratio,ca. 3,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs","Chaetocladius dentiforceps-type

",Body size,>10,size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Limnophyes,Mentum ratio,ca. 3,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Phaenopsectra flavipes-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Paratendipes albimanus-type,Mentum ratio,3.2-3.7,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psilometriocnemus,Teeth type,One broad median tooth or two median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Psilometriocnemus,Teeth type,4-5 lateral teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Smittia,Mentum ratio,ca. 3,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Chaetocladius dentiforceps-type

",Mentum ratio,2.2-2.9,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Nanocladius branchicolus-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Limnophyes,Teeth type,One broad median tooth or two median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Limnophyes,Teeth type,4-5 lateral teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paratendipes albimanus-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Microchironomus tener-type,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Microtendipes pedellus-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rheocricotopus effusus-type,Mentum ratio,<2.2,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Krenopelopia,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Paramerina,Teeth type,No teeth on mentum,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Glyptotendipes pallens-type,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Dicrotendipes notatus-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Macropelopia,Teeth type,No teeth on mentum,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudosmittia,Plate type,Ventromental plates narrow or foot-shaped,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Synorthocladius,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Cladopelma lateralis-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Cricotopus cylindraceus-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Proposilocerus akamusi-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Dicrotendipes notatus-type,Mentum ratio,2-2.5,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Tanytarsini,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Micropsectra junci-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Neozavrelia,Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Proposilocerus akamusi-type,Mentum ratio,>3,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tribelos,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paratendipes nudisquama-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Metriocnemus terrester-type,Mentum ratio,2-2.9,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Polypedilum nubifer-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Glyptotendipes barbipes-type,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Brillia,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Metriocnemus terrester-type,Teeth type,One median tooth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Corynoneura edwardsi-type,Body size,<5,Size1,,,moderate,predicted a different value for this trait
"species present, trait missing",Sergentia longiventris-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Micropsectra pallidula-type,Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Parametriocnemus,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Polypedilum nubifer-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Cricotopus cylindraceus-type,Teeth type,One broad median tooth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Rheocricotopus fucipes-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Parachironomus varus-type,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Parametriocnemus,Mentum ratio,ca. 3,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Chironomus plumosus-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Ablabesmyia,Body size,>10,size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Tanytarsus mendax-type,Plate type,"Broad, well separated ventromental plates",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Chironomus anthracinus-type,Teeth type,One/trifid median tooth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Einfeldia natchitocheae-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Rheocricotopus fucipes-type,Mentum ratio,<2.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Parametriocnemus,Teeth type,One broad median tooth or two median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Parametriocnemus,Teeth type,4-5 lateral teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypedilum nubifer-type,Teeth type,2 median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypedilum nubifer-type,Teeth type,First lateral tooth lower,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Symposiocladius,Functional feeding guild,Predators,Prd,,,moderate,predicted a different value for this trait
"species present, trait missing",Endochironomus impar-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Corynoneura,Body size,<5,Size1,,,moderate,predicted a different value for this trait
"species present, trait missing",Einfeldia dissidens-type,Mentum ratio,2.9-3.9,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Microchironomus tener-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Polypedilum nubeculosum-type,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Corynoneura,Mentum ratio,<2.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Pseudorthocladius,Plate type,Ventromental plates narrow or foot-shaped,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Einfeldia dissidens-type,Teeth type,One/trifid median tooth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Endochironomus tendens-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Glyptotendipes pallens-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Cricotopus sylvestris-type,Plate type,Narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Microchironomus tener-type,Mentum ratio,2.9-3.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Polypedilum bergi-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stictochironomus,Mentum ratio,2.9-4-1,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Pseudosmittia,Body size,<5,Size1,,,moderate,predicted a different value for this trait
"species present, trait missing",Chironomini,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Metriocnemus fuscipes-type,Mentum ratio,2.2-2.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eukiefferiella claripennis-type,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Micropsectra pallidula-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species present, trait missing",Symposiocladius,Mentum ratio,<2.2,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Synorthocladius,Body size,<5,Size1,,,moderate,predicted a different value for this trait
"species present, trait missing",Phaenopsectra typeA,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Glyptotendipes barbipes-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Tanypus,Mentum type,Concave mentum,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Stictochironomus,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Nanocladius branchicolus-type,Functional feeding guild,Predators,Prd,,,moderate,predicted a different value for this trait
"species present, trait missing",Polypedilum sordens-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Metriocnemus fuscipes-type,Teeth type,Two median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Synorthocladius,Mentum ratio,<2.2,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydrobaenus conformis-type,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Krenopelopia,Functional feeding guild,Predators,Prd,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tribelos,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Paratendipes nudisquama-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Glyptotendipes barbipes-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Parachironomus varus-type,Functional feeding guild,Predators,Prd,,,moderate,predicted a different value for this trait
"species present, trait missing",Micropsectra radilias-type,Ventral type,"Long ventromental plates, close together",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phaenopsectra flavipes-type,Mentum ratio,2.9-4.1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Smittia,Teeth type,One broad median tooth or two median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Smittia,Teeth type,4-5 lateral teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Tribelos,Mentum ratio,2.9-4-1,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cladopelma laccophila-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing","Chaetocladius dentiforceps-type

",Teeth type,Two median teeth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Glyptotendipes barbipes-type,Mentum ratio,2.9-3.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Sergentia coracina-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Nanocladius branchicolus-type,Mentum ratio,2.2-2.9,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Phaenopsectra flavipes-type,Teeth type,3-4 median teeth higher than lateral ones,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Harnischia,Plate type,"Large, fan-shaped plates",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Glyptotendipes barbipes-type,Teeth type,One/trifid median tooth,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Endochironomus albipennis-type,Plate type,Fan-shaped plates,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Parachironomus varus-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Endochironomus impar-type,Functional feeding guild,Shredders,Shr,,,moderate,predicted a different value for this trait
"species present, trait missing",Nanocladius branchicolus-type,Teeth type,Two median teeth,,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Procladius,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Tanytarsus mendax-type,Body size,>5–10,Size2,,,moderate,predicted a different value for this trait
"species+trait present, value differs",Einfeldia natchitocheae-type,Body size,>10,Size3,,,moderate,predicted a different value for this trait
"species present, trait missing",Thienemanniella,Plate type,Broadening/narrow ventromental plates,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Krenopelopia,Teeth type,No teeth on mentum,,,,moderate,the trait was not extracted for this species
