cause,verbatimIdentification,measurementType,measurementValue,pred_collision_value,closest_pred_species,closest_score,severity,reasoning
"species present, trait missing",Axylia putris,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia virgaureata,Pupation Site,"pupation site in or close to ground in low vegetation (<30 cm), thus prone to flood events.",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Orthonama obstipata,Oviposition and larval feeding location,"oviposition and larval feeding predominately occur in the herb layer (<50 cm), thus prone to flood events",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Horisme tersata,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eupithecia selinata,Larval Feeding on dead plant matter,larvae feed on living plant tissues,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cadra furcatella,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Herminia grisealis,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis suavella,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Herminia tarsipennalis,Larval Feeding on dead plant matter,larvae feed on withered plants or on leaf litter and alike.,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hypomecis roboraria,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species+trait present, value differs",Conistra erythrocephala,Hibernation in egg stage recorded,No,no hibernation in egg stage recorded,,,moderate,predicted a different value for this trait
"species present, trait missing",Athetis lepigone,Hibernation as an adult recorded,No,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Abrostola triplasia,Larval habitat (above or below ground),larvae live above ground (except perhaps for pupation),,,,moderate,the trait was not extracted for this species
"species present, trait missing",Mythimna impura,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Loxostege sticticalis,Larva Feeding Place,"larva construct closed shelters (from leaf rolls, leaves spun together or alike; viz. they are ‘semi-concealed’); or they are boring into plant tissues, but only for a fraction of their development",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Agrochola lychnidis,Larva Feeding Place,larvae are external feeders throughout their life,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Acrobasis sodalella,Development of female wings,females with wings well developed,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Eudonia pallida,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Autographa gamma,Adult feeding,adults feed on flower nectar,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Cosmia affinis,Larval Feeding on softwood trees,"larval host range does not include softwood trees, which are characteristic elements of floodplain forest vegetation (viz. Populus, Salix, Alnus)",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Paratalanta pandalis,Larva Feeding Place,"larva construct closed shelters (from leaf rolls, leaves spun together or alike; viz. they are ‘semi-concealed’); or they are boring into plant tissues, but only for a fraction of their development",,,,moderate,the trait was not extracted for this species
"species present, trait missing",Noctua pronuba,Larval feeding on aquatic reed,larva on terrestrial plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Hydriomena furcata,Larval Feeding on mosses and lychens,larvae feed on vascular plants,,,,moderate,the trait was not extracted for this species
"species present, trait missing",Macaria notata,Larval Feeding on grasses,"larvae never feed on graminoid plants (Poaceae, Cyperaceae, Juncaceae)",,,,moderate,the trait was not extracted for this species
